minimal_above_good_2|127500000,85000000,102000000,85000000,90000000,85000000
minimal_above_good_10|34500000,60000000,46000000,77000000,69000000,45000000,57500000,72000000,74750000,60000000,80500000,77000000,74750000,46000000,57500000,60000000,77000000,77500000,74750000,75325000,74750000,75000000,77500000,60000000,57500000,69000000,80000000,77500000,46000000,57500000,77000000,80000000,78000000,77500000
minimal_above_good_18|192000000,96000000,74880000,24000000,96000000,24000000,96000000,76800000,76000000,76800000,96000000,80750000,76800000,76000000,24000000,76000000,74880000,76800000,76000000
minimal_above_good_26|830900000,70200000,830900000,59350000,74781000,118700000,74781000,75018400,73710000,74781000,75968000,74781000,75018400,118700000,74781000,77155000,75374500,74781000,75000000,74781000,37390500,52346700,74781000,75018400,74781000,75000000,75018400,75000000,74781000
minimal_above_good_34|28500000,50000000,60000000,82500000,80500000,80000000,85000000,78000000,78500000,76200000,78000000,40000000,78000000,76000000,80000000,100000000,85000000,80000000,40000000,86000000,85000000,78000000
minimal_above_good_42|172500000,120000000,100000000,131250000,125000000,143750000,140000000,143750000,100000000,138000000,100000000,138000000,125000000
minimal_above_good_50|18000000,60000000,30000000,60000000,63600000,70000000,72000000,74000000,74999999,75350000,66000000,74000000,75000000,48000000,100000000,80000000,78000000,75350000,75000000,76000000,75500000,75600000,70000000,75000000,76000000,75400000
minimal_above_good_58|138000000,92000000,81900000,80000000,163800000,87750000,73600000,86250000,115000000,99000000,100000000,64400000,138000000,115000000,146000000,80500000,90000000,92000000,93600000,117000000,100000000,85000000,91260000,80000000,93600000,90000000,93600000,95000000,88000000,117000000,116000000,98000000,99000000,95000000,117000000,81900000,140000000,92000000,117000000,90000000,88550000,74880000
minimal_below_good_6|60000000,70000000,67900000,70000000,65000000,74000000,70000000,74000000,72500000,74000000,70000000,63000000,70000000,60000000,70000000
minimal_below_good_14|970000000,194000000,97000000,116000000,194000000,52380000,80000000,200000000,80000000,64000000,60000000,40000000,75000000,80000000,64000000,70000000
minimal_below_good_22|11000000,13420000,14600000,15000000,13200000,12650000,17250000,15860000,15000000,14000000,15600000,12500000,15000000,17250000,13800000,14000000,12800000,13000000,13300000,12000000,13000000,13512500,14000000,12000000,14000000,12636000,12600000,12710000,13000000,12500000,11562000,11500000,13000000,11300000,11000000,11500000,12000000,12100000,11700000,12285000,12300000,12390000,12000000
minimal_below_good_30|1200000000,1170000000,87750000,117000000,351000000,87750000,58500000,117000000,29250000,66456000,100000000,58500000,87750000,70200000,44700000,351000000,585000000,1170000000,117000000,350000000,35100000,44460000,175500000,58500000,81900000,70200000,58500000,77900000,70000000,87750000,58500000,117000000,58500000,81900000,70000000,58500000,60000000,117000000,70200000,70000000,140000000,60000000,70000000,82650000,68665000,70000000,70200000,70000000
minimal_below_good_38|200000000,50000000,66000000,72000000,108000000,72891000,62300000,71300000,62000000,60140000,74750000,93500000,87750000,69000000,66000000,74750000,76000000,65000000,62500000,69000000,65100000,66000000,87750000,70200000,70000000,66700000,67000000,65000000,66000000,65000000,76050000,64350000,65000000,70200000,68000000,70000000,69000000,65000000,64000000,66000000,64800000,65000000,70000000,68000000,70000000,70200000,70000000,69000000,70000000,69000000,70200000,70000000,68000000,66000000,65000000,68000000,68200000,68000000
minimal_below_good_46|75000000,72000000,75000000,78000000,72000000,78000000,72000000,90000000,72000000,70200000,71700000,72000000,78000000,71500000,72000000,71400000,71700000,72000000,71700000,72000000,71700000,77675000,78000000,72000000,74400000,72000000
minimal_below_good_54|30000000,50000000,52000000,32800000,35000000,40500000,50000000,30000000,26400000,24000000,30000000,27000000,30600000,40800000,45900000,34125000,34000000,35000000,34000000,29100000,38800000,39000000,35000000
